PRODUCT_ID,Y_Class
TEST_000,1
TEST_001,1
TEST_002,1
TEST_003,1
TEST_004,1
TEST_005,1
TEST_006,1
TEST_007,2
TEST_008,1
TEST_009,1
TEST_010,1
TEST_011,1
TEST_012,1
TEST_013,1
TEST_014,1
TEST_015,2
TEST_016,0
TEST_017,1
TEST_018,1
TEST_019,1
TEST_020,0
TEST_021,1
TEST_022,1
TEST_023,1
TEST_024,0
TEST_025,1
TEST_026,2
TEST_027,1
TEST_028,1
TEST_029,2
TEST_030,1
TEST_031,1
TEST_032,1
TEST_033,1
TEST_034,1
TEST_035,1
TEST_036,1
TEST_037,1
TEST_038,1
TEST_039,0
TEST_040,1
TEST_041,1
TEST_042,1
TEST_043,1
TEST_044,1
TEST_045,1
TEST_046,1
TEST_047,1
TEST_048,1
TEST_049,1
TEST_050,1
TEST_051,1
TEST_052,1
TEST_053,2
TEST_054,2
TEST_055,1
TEST_056,1
TEST_057,1
TEST_058,1
TEST_059,0
TEST_060,1
TEST_061,1
TEST_062,0
TEST_063,1
TEST_064,1
TEST_065,1
TEST_066,1
TEST_067,1
TEST_068,1
TEST_069,1
TEST_070,0
TEST_071,1
TEST_072,1
TEST_073,1
TEST_074,1
TEST_075,1
TEST_076,0
TEST_077,1
TEST_078,0
TEST_079,1
TEST_080,1
TEST_081,1
TEST_082,1
TEST_083,1
TEST_084,1
TEST_085,2
TEST_086,2
TEST_087,2
TEST_088,1
TEST_089,1
TEST_090,1
TEST_091,1
TEST_092,1
TEST_093,1
TEST_094,2
TEST_095,1
TEST_096,1
TEST_097,2
TEST_098,1
TEST_099,1
TEST_100,1
TEST_101,1
TEST_102,2
TEST_103,1
TEST_104,1
TEST_105,1
TEST_106,2
TEST_107,1
TEST_108,1
TEST_109,1
TEST_110,2
TEST_111,1
TEST_112,1
TEST_113,1
TEST_114,1
TEST_115,1
TEST_116,1
TEST_117,0
TEST_118,1
TEST_119,1
TEST_120,1
TEST_121,2
TEST_122,1
TEST_123,0
TEST_124,1
TEST_125,2
TEST_126,1
TEST_127,2
TEST_128,2
TEST_129,1
TEST_130,1
TEST_131,1
TEST_132,1
TEST_133,1
TEST_134,1
TEST_135,1
TEST_136,1
TEST_137,1
TEST_138,1
TEST_139,1
TEST_140,1
TEST_141,1
TEST_142,1
TEST_143,2
TEST_144,1
TEST_145,1
TEST_146,1
TEST_147,1
TEST_148,1
TEST_149,0
TEST_150,1
TEST_151,1
TEST_152,1
TEST_153,1
TEST_154,1
TEST_155,1
TEST_156,1
TEST_157,1
TEST_158,1
TEST_159,1
TEST_160,2
TEST_161,1
TEST_162,0
TEST_163,1
TEST_164,1
TEST_165,1
TEST_166,1
TEST_167,1
TEST_168,1
TEST_169,0
TEST_170,2
TEST_171,1
TEST_172,1
TEST_173,1
TEST_174,1
TEST_175,1
TEST_176,1
TEST_177,1
TEST_178,1
TEST_179,1
TEST_180,0
TEST_181,0
TEST_182,1
TEST_183,2
TEST_184,1
TEST_185,2
TEST_186,0
TEST_187,2
TEST_188,0
TEST_189,2
TEST_190,1
TEST_191,1
TEST_192,1
TEST_193,1
TEST_194,1
TEST_195,0
TEST_196,1
TEST_197,2
TEST_198,1
TEST_199,1
TEST_200,1
TEST_201,1
TEST_202,1
TEST_203,2
TEST_204,1
TEST_205,2
TEST_206,2
TEST_207,2
TEST_208,1
TEST_209,1
TEST_210,1
TEST_211,1
TEST_212,1
TEST_213,2
TEST_214,2
TEST_215,1
TEST_216,1
TEST_217,1
TEST_218,1
TEST_219,2
TEST_220,1
TEST_221,1
TEST_222,2
TEST_223,2
TEST_224,2
TEST_225,1
TEST_226,1
TEST_227,1
TEST_228,1
TEST_229,1
TEST_230,2
TEST_231,1
TEST_232,2
TEST_233,1
TEST_234,1
TEST_235,1
TEST_236,1
TEST_237,1
TEST_238,2
TEST_239,1
TEST_240,2
TEST_241,1
TEST_242,1
TEST_243,1
TEST_244,1
TEST_245,2
TEST_246,1
TEST_247,1
TEST_248,1
TEST_249,2
TEST_250,2
TEST_251,0
TEST_252,1
TEST_253,0
TEST_254,1
TEST_255,1
TEST_256,1
TEST_257,1
TEST_258,2
TEST_259,0
TEST_260,1
TEST_261,1
TEST_262,0
TEST_263,1
TEST_264,1
TEST_265,1
TEST_266,1
TEST_267,2
TEST_268,1
TEST_269,2
TEST_270,0
TEST_271,1
TEST_272,2
TEST_273,1
TEST_274,1
TEST_275,1
TEST_276,2
TEST_277,0
TEST_278,1
TEST_279,1
TEST_280,1
TEST_281,1
TEST_282,1
TEST_283,2
TEST_284,2
TEST_285,1
TEST_286,2
TEST_287,1
TEST_288,0
TEST_289,2
TEST_290,1
TEST_291,1
TEST_292,1
TEST_293,1
TEST_294,2
TEST_295,1
TEST_296,1
TEST_297,1
TEST_298,1
TEST_299,1
TEST_300,1
TEST_301,1
TEST_302,1
TEST_303,0
TEST_304,1
TEST_305,1
TEST_306,1
TEST_307,1
TEST_308,2
TEST_309,1
TEST_310,0
TEST_311,1
TEST_312,1
TEST_313,1
TEST_314,1
TEST_315,2
TEST_316,1
TEST_317,2
TEST_318,2
TEST_319,1
TEST_320,1
TEST_321,1
TEST_322,1
TEST_323,1
TEST_324,0
TEST_325,1
TEST_326,1
TEST_327,1
TEST_328,1
TEST_329,1
TEST_330,0
TEST_331,2
TEST_332,1
TEST_333,1
TEST_334,2
TEST_335,1
TEST_336,1
TEST_337,2
TEST_338,1
TEST_339,2
TEST_340,1
TEST_341,1
TEST_342,0
TEST_343,1
TEST_344,1
TEST_345,1
TEST_346,2
TEST_347,1
TEST_348,1
TEST_349,1
TEST_350,2
TEST_351,1
TEST_352,1
TEST_353,2
TEST_354,0
TEST_355,1
TEST_356,1
TEST_357,1
TEST_358,1
TEST_359,1
TEST_360,1
TEST_361,1
TEST_362,1
TEST_363,0
TEST_364,1
TEST_365,1
TEST_366,1
TEST_367,1
TEST_368,1
TEST_369,1
TEST_370,1
TEST_371,1
TEST_372,1
TEST_373,1
TEST_374,1
TEST_375,1
TEST_376,1
TEST_377,1
TEST_378,1
TEST_379,1
TEST_380,1
TEST_381,1
TEST_382,1
TEST_383,1
TEST_384,1
TEST_385,2
TEST_386,1
TEST_387,1
TEST_388,1
TEST_389,1
TEST_390,1
TEST_391,1
TEST_392,1
TEST_393,0
TEST_394,1
TEST_395,1
TEST_396,2
TEST_397,1
TEST_398,1
TEST_399,2
TEST_400,0
TEST_401,1
TEST_402,0
TEST_403,0
TEST_404,1
TEST_405,2
TEST_406,1
TEST_407,1
TEST_408,1
TEST_409,1
TEST_410,1
TEST_411,1
TEST_412,1
TEST_413,1
TEST_414,1
TEST_415,1
TEST_416,1
TEST_417,1
TEST_418,1
TEST_419,1
TEST_420,1
TEST_421,1
TEST_422,1
TEST_423,1
TEST_424,1
TEST_425,0
TEST_426,1
TEST_427,1
TEST_428,1
TEST_429,1
TEST_430,1
TEST_431,1
TEST_432,0
TEST_433,0
TEST_434,0
TEST_435,0
TEST_436,1
TEST_437,1
TEST_438,2
TEST_439,1
TEST_440,1
TEST_441,1
TEST_442,1
TEST_443,2
TEST_444,1
TEST_445,1
TEST_446,1
TEST_447,1
TEST_448,2
TEST_449,1
TEST_450,1
TEST_451,1
TEST_452,1
TEST_453,1
TEST_454,1
TEST_455,1
TEST_456,1
TEST_457,1
TEST_458,0
TEST_459,1
TEST_460,1
TEST_461,1
TEST_462,1
TEST_463,1
TEST_464,1
TEST_465,1
TEST_466,1
TEST_467,1
TEST_468,1
TEST_469,1
TEST_470,1
TEST_471,1
TEST_472,2
TEST_473,1
TEST_474,0
TEST_475,1
TEST_476,1
TEST_477,1
TEST_478,1
TEST_479,1
TEST_480,2
TEST_481,1
TEST_482,1
TEST_483,1
TEST_484,1
TEST_485,1
TEST_486,1
TEST_487,1
TEST_488,1
TEST_489,1
TEST_490,1
TEST_491,1
TEST_492,2
TEST_493,1
TEST_494,1
